Settimana,google
2010-01-03 - 2010-01-09,44
2010-01-10 - 2010-01-16,47
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,40
2010-01-31 - 2010-02-06,36
2010-02-07 - 2010-02-13,32
2010-02-14 - 2010-02-20,32
2010-02-21 - 2010-02-27,31
2010-02-28 - 2010-03-06,28
2010-03-07 - 2010-03-13,31
2010-03-14 - 2010-03-20,28
2010-03-21 - 2010-03-27,36
2010-03-28 - 2010-04-03,26
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,39
2010-04-25 - 2010-05-01,33
2010-05-02 - 2010-05-08,52
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,36
2010-05-30 - 2010-06-05,34
2010-06-06 - 2010-06-12,33
2010-06-13 - 2010-06-19,27
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,44
2010-07-04 - 2010-07-10,37
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,37
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,31
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,47
2010-09-12 - 2010-09-18,37
2010-09-19 - 2010-09-25,39
2010-09-26 - 2010-10-02,31
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,47
2010-11-14 - 2010-11-20,41
2010-11-21 - 2010-11-27,39
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,40
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,38
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,39
2011-02-06 - 2011-02-12,39
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,38
2011-02-27 - 2011-03-05,40
2011-03-06 - 2011-03-12,36
2011-03-13 - 2011-03-19,36
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,35
2011-04-10 - 2011-04-16,47
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,32
2011-05-01 - 2011-05-07,25
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,38
2011-05-29 - 2011-06-04,39
2011-06-05 - 2011-06-11,31
2011-06-12 - 2011-06-18,34
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,74
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,74
2011-08-07 - 2011-08-13,100
2011-08-14 - 2011-08-20,81
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,42
2011-09-04 - 2011-09-10,44
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,55
2011-10-09 - 2011-10-15,45
2011-10-16 - 2011-10-22,40
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,40
2011-11-13 - 2011-11-19,36
2011-11-20 - 2011-11-26,36
2011-11-27 - 2011-12-03,39
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,37
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,28
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,42
2012-01-22 - 2012-01-28,41
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,45
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,41
2012-03-11 - 2012-03-17,35
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,41
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,43
